instance_id predicted_score
2475218615076601065 0.007522
398316874173557226 0.043026
6586402638209028583 0.040963
1040996105851528465 0.016253
6316278569655873454 0.029857
868158305045921978 0.038108
5713520501786699854 0.014576
932945015407923184 0.017892
1919197847086752313 0.025007
304887065966615346 0.020455
3282556850371665 0.017649
8829646398295427742 0.029410
3177704368658581090 0.005483
331811904131229654 0.027569
1529584165704680903 0.021468
410957802501821801 0.029874
7858701120525579871 0.027117
1007593432911733192 0.032244
6933421324008829721 0.024401
949601458836318592 0.007732
1204371563787795352 0.007031
6697124581068234934 0.010177
7458626674337135052 0.033000
6451011837344535814 0.006705
4970342844069330588 0.007092
1311037283502827477 0.004450
5367830782177104937 0.009697
130085071580390177 0.007133
5277248246761080968 0.005621
8248237544078109435 0.007650
8160495387552112248 0.001660
4990633888389156703 0.009083
5367915129338412746 0.001521
7166315717760973347 0.010089
3922408194130789536 0.002555
3198031054131887410 0.004321
8381639851093431264 0.004497
4196377277000518389 0.032175
7216665137006358861 0.004598
7657988882068327631 0.007667
6580538684502645403 0.012762
8285962653536984730 0.013569
667595007626814688 0.006706
794637447406319981 0.015672
1667489879796904413 0.044996
7581478598841084967 -0.000386
272473116112748683 0.005729
7616847274036607679 0.002705
3090692985891227788 0.016295
1497475395995941288 0.009882
441294948945551728 0.008437
3856621171799337440 0.005987
7233013970386906908 0.009565
7782462939020585759 0.002927
7819341218876328892 0.014507
8768374492722589767 0.007944
7699672123093034935 0.006589
3105846136880438244 0.006653
6362992075498435257 0.004387
4633007087835435834 0.006415
3278116017102114132 0.009045
5363866899442970684 0.001596
4763880063818181026 0.010500
6499417853689436305 0.009051
8825197220275291270 0.008778
1702555588196061071 0.009231
6579068549138521196 0.009867
6993939747206748437 0.009633
6426886544329476252 0.009080
7860426862982048754 0.009685
2527297114841298382 0.008197
7933313760459159869 0.009555
75469955133175158 0.004360
7906499375892573021 0.007387
297206904225842053 0.005921
1277202590313089835 0.007795
1897838256899211077 0.011416
6554880088483459971 0.008025
6235346144393008382 0.005949
4934006048075874133 0.002317
3434477093176970312 0.002388
872629453371620942 0.005643
6562540679725413333 0.004967
2549347096994045410 0.005406
4114531809002228993 0.010329
6947254775144460887 0.005416
4193769699798080591 0.004967
4299012801018800018 0.005468
4659062641181513784 0.007768
5574367751937642699 0.010735
