instance_id predicted_score
2475218615076601065 0.007781
398316874173557226 0.037705
6586402638209028583 0.052600
1040996105851528465 0.023670
6316278569655873454 0.032831
868158305045921978 0.041093
5713520501786699854 0.014919
932945015407923184 0.016967
1919197847086752313 0.023484
304887065966615346 0.020459
3282556850371665 0.018656
8829646398295427742 0.027102
3177704368658581090 0.004190
331811904131229654 0.039951
1529584165704680903 0.015517
410957802501821801 0.028917
7858701120525579871 0.033247
1007593432911733192 0.029675
6933421324008829721 0.021461
949601458836318592 0.009234
1204371563787795352 0.006891
6697124581068234934 0.008480
7458626674337135052 0.016930
6451011837344535814 0.005781
4970342844069330588 0.005649
1311037283502827477 0.002907
5367830782177104937 0.005863
130085071580390177 0.004186
5277248246761080968 0.004004
8248237544078109435 0.006017
8160495387552112248 0.002287
4990633888389156703 0.006904
5367915129338412746 0.002831
7166315717760973347 0.007561
3922408194130789536 0.002512
3198031054131887410 0.002765
8381639851093431264 0.005132
4196377277000518389 0.020154
7216665137006358861 0.004084
7657988882068327631 0.005523
6580538684502645403 0.009374
8285962653536984730 0.010859
667595007626814688 0.005171
794637447406319981 0.010904
1667489879796904413 0.024545
7581478598841084967 0.002160
272473116112748683 0.004022
7616847274036607679 0.003404
3090692985891227788 0.012284
1497475395995941288 0.006621
441294948945551728 0.005561
3856621171799337440 0.004653
7233013970386906908 0.006575
7782462939020585759 0.002983
7819341218876328892 0.011160
8768374492722589767 0.005056
7699672123093034935 0.005381
3105846136880438244 0.004588
6362992075498435257 0.003415
4633007087835435834 0.004602
3278116017102114132 0.006481
5363866899442970684 0.002332
4763880063818181026 0.009089
6499417853689436305 0.007034
8825197220275291270 0.006930
1702555588196061071 0.006786
6579068549138521196 0.003056
6993939747206748437 0.006398
6426886544329476252 0.007165
7860426862982048754 0.008829
2527297114841298382 0.007014
7933313760459159869 0.006514
75469955133175158 0.003528
7906499375892573021 0.003890
297206904225842053 0.004474
1277202590313089835 0.006164
1897838256899211077 0.007376
6554880088483459971 0.005810
6235346144393008382 0.004987
4934006048075874133 0.003369
3434477093176970312 0.002925
872629453371620942 0.005774
6562540679725413333 0.003769
2549347096994045410 0.004817
4114531809002228993 0.005676
6947254775144460887 0.005150
4193769699798080591 0.004917
4299012801018800018 0.003842
4659062641181513784 0.005914
5574367751937642699 0.007351
6074037798572199156 0.006312
8024877078089305183 0.008906
3576745609723701102 0.010531
4387536418119078860 0.004383
59596392243977340 0.003433
2091354043474870892 0.005948
3966382312694618857 0.006970
7472760435899602494 0.003058
3198557291404155567 0.005402
1340012448531949213 0.002081
8830478013318984291 0.003628
4750788892877807074 0.003544
4489273316708706518 0.005505
8244650590101261901 0.006076
4858740570621533413 0.003782
6574836078618592522 0.002109
8043823938478133928 0.010628
5560933328574734864 0.007645
3709060275784363998 0.005353
6202485565760628927 0.002326
3941947698604231411 0.007821
1980180280733366382 0.008792
7710765171626200752 0.003895
5824318658173462176 0.005266
5243054028010204447 0.008863
1143993040051443911 0.007226
2037772651107598845 0.004930
7470734154246698497 0.004619
2523181996580848656 0.009593
8452022941451037435 0.007804
927504634826570733 0.003232
2597805510581801545 0.002629
2499080841153987519 0.008405
163807825264653896 0.003985
2502678713837987982 0.003431
1526151713017037622 0.005907
1768216870621739659 0.005034
817331509321550604 0.008767
6686667053967253376 0.009420
5299583121790369228 0.004268
5585024284234417351 0.007995
1604976632639851313 0.007476
1041212349975192991 0.004011
802918703517012152 0.003655
6909182353626620470 0.012085
1874783208062455148 0.006768
590370581953806675 0.004527
4357489829777680958 0.008122
252205590979964157 0.005473
3855377415648680657 0.006372
9108564362830696742 0.008112
5559112022764482380 0.003918
1632910180343132894 0.005246
6793829579549371789 0.005284
1118128856472657337 0.004128
2892060938155506223 0.005157
8614041918260246627 0.006636
6465962103228301432 0.002759
7162492013828731916 0.007109
3597080532065967562 0.002954
150665717183815588 0.004316
978380972294888193 0.004631
1628582540909746198 0.004829
4855790075544650290 0.006963
5824427867272718879 0.008996
6637749344029336154 0.004938
5638585955963471374 0.012542
689702222580461167 0.005300
3222299540246685987 0.003540
497750118749498574 0.009412
4361351848384171826 0.004185
7095196713120733301 0.004263
9070603282890863831 0.003372
7570581289817443520 0.007971
5934094750253721488 0.005692
4080549666881243161 0.004774
7937668249803376288 0.026931
4637321447308132034 0.006814
1051706390360657392 0.008431
4046686032838439408 0.008356
6426031625233383026 0.016129
1144757588802408786 0.004684
752871749676732302 0.003752
707195829135838640 0.002987
6638058534747252341 0.003845
1591541525439583589 0.007997
1660171724814619586 0.006502
7380895196770915260 0.003329
5765180010537240279 0.008102
7068436688681612577 0.003817
554640564336554951 0.006443
5210865229093277784 0.006923
4785810926315849846 0.004666
5820784656553166993 0.004794
3159394666949013441 0.007403
7322218457361281297 0.003549
1408926125990985945 0.006219
3757297540218526951 0.006081
7520090641248405891 0.004385
5681246312039595291 0.002427
1770051250325451069 0.003321
8997413063773025769 0.004778
330438176527452904 0.009394
952160001342209502 0.010794
6001454270979878025 0.007937
40630695208299305 0.009199
3588408398527521348 0.003699
2685807743120227644 0.005395
1085236130082664956 0.009190
