instance_id predicted_score
2475218615076601065 0.006490
398316874173557226 0.037630
6586402638209028583 0.045855
1040996105851528465 0.020926
6316278569655873454 0.027298
868158305045921978 0.033679
5713520501786699854 0.015583
932945015407923184 0.015195
1919197847086752313 0.022586
304887065966615346 0.019658
3282556850371665 0.014831
8829646398295427742 0.025442
3177704368658581090 0.004272
331811904131229654 0.039734
1529584165704680903 0.012694
410957802501821801 0.022870
7858701120525579871 0.032671
1007593432911733192 0.026578
6933421324008829721 0.019302
949601458836318592 0.006196
1204371563787795352 0.004900
6697124581068234934 0.008447
7458626674337135052 0.014444
6451011837344535814 0.005644
4970342844069330588 0.005751
1311037283502827477 0.002767
5367830782177104937 0.006187
130085071580390177 0.003803
5277248246761080968 0.004083
8248237544078109435 0.005352
8160495387552112248 0.001593
4990633888389156703 0.006696
5367915129338412746 0.001349
7166315717760973347 0.007920
3922408194130789536 0.002241
3198031054131887410 0.002693
8381639851093431264 0.003218
4196377277000518389 0.018822
7216665137006358861 0.003791
7657988882068327631 0.005211
6580538684502645403 0.008651
8285962653536984730 0.009538
667595007626814688 0.005175
794637447406319981 0.010222
1667489879796904413 0.025883
7581478598841084967 0.000731
272473116112748683 0.003578
7616847274036607679 0.002475
3090692985891227788 0.011094
1497475395995941288 0.006735
441294948945551728 0.005964
3856621171799337440 0.004054
7233013970386906908 0.006283
7782462939020585759 0.002224
7819341218876328892 0.010486
8768374492722589767 0.004469
7699672123093034935 0.005197
3105846136880438244 0.005208
6362992075498435257 0.003541
4633007087835435834 0.004582
3278116017102114132 0.005597
5363866899442970684 0.002122
4763880063818181026 0.008491
6499417853689436305 0.007063
8825197220275291270 0.006421
1702555588196061071 0.007006
6579068549138521196 0.002837
6993939747206748437 0.006014
6426886544329476252 0.007130
7860426862982048754 0.007206
2527297114841298382 0.007622
7933313760459159869 0.005139
75469955133175158 0.003052
7906499375892573021 0.004270
297206904225842053 0.004721
1277202590313089835 0.006396
1897838256899211077 0.007911
6554880088483459971 0.005963
6235346144393008382 0.004943
4934006048075874133 0.002784
3434477093176970312 0.002370
872629453371620942 0.005623
6562540679725413333 0.003401
2549347096994045410 0.005756
4114531809002228993 0.005259
6947254775144460887 0.005492
4193769699798080591 0.003518
4299012801018800018 0.003989
4659062641181513784 0.005742
5574367751937642699 0.007657
6074037798572199156 0.006131
8024877078089305183 0.007894
3576745609723701102 0.011100
4387536418119078860 0.004079
59596392243977340 0.003688
2091354043474870892 0.005798
3966382312694618857 0.007525
7472760435899602494 0.001962
3198557291404155567 0.005398
1340012448531949213 0.001297
8830478013318984291 0.003794
4750788892877807074 0.002992
4489273316708706518 0.004378
8244650590101261901 0.006975
4858740570621533413 0.003833
6574836078618592522 0.001387
8043823938478133928 0.010285
5560933328574734864 0.007056
3709060275784363998 0.005654
6202485565760628927 0.001572
3941947698604231411 0.007597
1980180280733366382 0.008873
7710765171626200752 0.003634
5824318658173462176 0.005277
5243054028010204447 0.008625
1143993040051443911 0.006968
2037772651107598845 0.003757
7470734154246698497 0.004581
2523181996580848656 0.008211
8452022941451037435 0.007675
927504634826570733 0.002743
2597805510581801545 0.002662
2499080841153987519 0.009223
163807825264653896 0.002942
2502678713837987982 0.002911
1526151713017037622 0.005313
1768216870621739659 0.006272
817331509321550604 0.008800
6686667053967253376 0.009186
5299583121790369228 0.004260
5585024284234417351 0.005698
1604976632639851313 0.007569
1041212349975192991 0.003814
802918703517012152 0.002960
6909182353626620470 0.010494
1874783208062455148 0.006828
590370581953806675 0.004672
4357489829777680958 0.007622
252205590979964157 0.005909
3855377415648680657 0.006092
9108564362830696742 0.006203
5559112022764482380 0.002734
1632910180343132894 0.005039
6793829579549371789 0.005124
1118128856472657337 0.004605
2892060938155506223 0.004720
8614041918260246627 0.006682
6465962103228301432 0.002600
7162492013828731916 0.006656
3597080532065967562 0.002876
150665717183815588 0.003702
978380972294888193 0.002584
1628582540909746198 0.004618
4855790075544650290 0.006465
5824427867272718879 0.007943
6637749344029336154 0.004744
5638585955963471374 0.010867
689702222580461167 0.006052
3222299540246685987 0.003263
